title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Anjelah Johnson: Not Fancy,MOVIE,2015,63,['comedy'; 'documentation'],0,5.7,686
The Deep,SHOW,2015,22,['action'; 'animation'; 'family'; 'scifi'],3,8.1,645
La Niña,SHOW,2016,45,['action'; 'drama'],1,8.3,642
Colin Quinn: The New York Story,MOVIE,2016,62,['comedy'],0,6.8,990
Ask the Storybots,SHOW,2016,26,['animation'; 'comedy'; 'family'],3,8.4,870
Divines,MOVIE,2016,105,['drama'; 'crime'; 'european'],0,7.4,9739
MindGamers,MOVIE,2015,97,['thriller'; 'action'; 'scifi'; 'european'],0,3.6,1093
La esclava blanca,SHOW,2016,41,['history'],1,8.1,575
Tony Robbins: I Am Not Your Guru,MOVIE,2016,115,['documentation'],0,6.7,4335
I Am Michael,MOVIE,2015,98,['drama'; 'romance'],0,5.6,5495
Justin Timberlake + The Tennessee Kids,MOVIE,2016,90,['documentation'; 'music'],0,7.8,2173
World of Winx,SHOW,2016,23,['action'; 'animation'; 'comedy'; 'family'; 'fantasy'; 'european'],2,6.6,715
Heneral Luna,MOVIE,2015,118,['action'; 'drama'; 'history'; 'war'],0,7.4,2089
Un + une,MOVIE,2015,115,['comedy'; 'drama'; 'european'; 'romance'],0,6.2,2279
Mucize,MOVIE,2015,136,['drama'; 'comedy'; 'romance'; 'documentation'; 'european'],0,7.7,12395
Pororo the Little Penguin,SHOW,2016,8,['scifi'; 'family'; 'animation'],6,6.3,88
The Heirs,MOVIE,2015,71,['drama'],0,5.7,224
72 Cutest Animals,SHOW,2016,27,['documentation'],1,5.7,433
Richie Rich,SHOW,2015,22,['comedy'],2,3.1,1041
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,MOVIE,2016,87,['comedy'; 'documentation'],0,7.4,2519
In the Shadow of Iris,MOVIE,2016,99,['thriller'; 'drama'; 'crime'; 'european'],0,6.1,4256
Jim Jefferies: Freedumb,MOVIE,2016,86,['comedy'; 'documentation'],0,7.7,5393
Force 2,MOVIE,2016,123,['crime'; 'action'; 'thriller'],0,6.2,5501
Couple Of Days,MOVIE,2016,103,['drama'],0,6.4,21
3000 Nights,MOVIE,2015,103,['drama'],0,7.1,676
6 Years,MOVIE,2015,84,['romance'; 'drama'],0,5.6,12441
Tamasha,MOVIE,2015,139,['drama'; 'comedy'; 'romance'],0,7.4,26790
Manson Family Vacation,MOVIE,2015,85,['drama'; 'comedy'; 'thriller'],0,5.8,2965
Garfunkel and Oates: Trying to be Special,MOVIE,2016,62,['comedy'; 'music'],0,7.3,899
LEGO Friends: The Power of Friendship,SHOW,2016,23,['animation'],2,6.5,49
Strange Weather,MOVIE,2016,95,['drama'],0,6,1499
Rainbow Time,MOVIE,2016,91,['drama'; 'comedy'],0,5.9,710
Extremis,MOVIE,2016,24,['documentation'],0,0,0
Much Loved,MOVIE,2015,108,['drama'; 'european'],0,6.2,2722
The Good Cop,SHOW,2015,30,['comedy'; 'drama'],3,7.7,370
Always Be My Maybe,MOVIE,2016,112,['comedy'; 'romance'],0,6.7,372
Tales by Light,SHOW,2015,27,['documentation'],3,8.3,1905
The Guardian Brothers,MOVIE,2016,103,['animation'; 'family'; 'fantasy'; 'comedy'],0,5.4,2100
Open Season: Scared Silly,MOVIE,2015,85,['animation'],0,0,0
